ticker,company,# of earnings,% of positive impact of earnings,# of positive surprise earnings,% of positive impact of earnings when positive surprise,# of negative surprise earnings,% of positive impact of earnings when negative surprise,correlated_goodness
NOW,SERVICENOW INC,40,0.775,34,0.8235294117647058,2,1.0,0.775
AVGO,BROADCOM INC,53,0.7547169811320755,49,0.7551020408163265,1,1.0,0.7547169811320755
DOW,DOW INC,15,0.26666666666666666,13,0.23076923076923078,0,-1.0,0.7333333333333334
FANG,DIAMONDBACK ENERGY INC,40,0.725,30,0.7666666666666667,9,0.5555555555555556,0.725
MSCI,M S C I INC,60,0.7166666666666667,45,0.7111111111111111,7,0.7142857142857143,0.7166666666666667
MNST,MONSTER BEVERAGE CORP NEW,71,0.6901408450704225,33,0.8484848484848485,21,0.38095238095238093,0.6901408450704225
ANSS,ANSYS INC,105,0.6857142857142857,86,0.6744186046511628,1,1.0,0.6857142857142857
VNT,VONTIER CORP,9,0.6666666666666666,8,0.625,0,-1.0,0.6666666666666666
ALLE,ALLEGION PLC,36,0.6666666666666666,24,0.7083333333333334,8,0.625,0.6666666666666666
TMUS,T MOBILE U S INC,62,0.6612903225806451,42,0.6904761904761905,18,0.6111111111111112,0.6612903225806451
AMD,ADVANCED MICRO DEVICES INC,111,0.35135135135135137,65,0.38461538461538464,30,0.3,0.6486486486486487
DAL,DELTA AIR LINES INC,62,0.6451612903225806,41,0.6829268292682927,15,0.6,0.6451612903225806
VFC,V F CORP,112,0.35714285714285715,78,0.3974358974358974,13,0.46153846153846156,0.6428571428571428
UAA,UNDER ARMOUR INC,64,0.359375,42,0.4523809523809524,3,0.0,0.640625
MKTX,MARKETAXESS HLDGS INC,72,0.6388888888888888,47,0.6382978723404256,9,0.5555555555555556,0.6388888888888888
URI,UNITED RENTALS INC,99,0.6363636363636364,65,0.7230769230769231,24,0.5,0.6363636363636364
RJF,RAYMOND JAMES FINANCIAL INC,103,0.6310679611650486,61,0.7377049180327869,33,0.3939393939393939,0.6310679611650486
APH,AMPHENOL CORP NEW,111,0.6306306306306306,60,0.6833333333333333,4,0.5,0.6306306306306306
MHK,MOHAWK INDUSTRIES INC,112,0.625,91,0.7142857142857143,13,0.15384615384615385,0.625
NKE,NIKE INC,112,0.625,80,0.6125,6,0.5,0.625
GE,GENERAL ELECTRIC CO,112,0.375,74,0.35135135135135137,24,0.5,0.625
EQIX,EQUINIX INC,85,0.6235294117647059,43,0.6976744186046512,37,0.4864864864864865,0.6235294117647059
UHS,UNIVERSAL HEALTH SERVICES INC,111,0.6216216216216216,71,0.7323943661971831,30,0.43333333333333335,0.6216216216216216
MTD,METTLER TOLEDO INTERNATIONAL INC,100,0.62,94,0.6382978723404256,2,0.0,0.62
HAL,HALLIBURTON COMPANY,110,0.6181818181818182,81,0.6419753086419753,9,0.4444444444444444,0.6181818181818182
AAL,AMERICAN AIRLINES GROUP INC,68,0.38235294117647056,51,0.37254901960784315,11,0.45454545454545453,0.6176470588235294
ORLY,O REILLY AUTOMOTIVE INC NEW,112,0.6160714285714286,65,0.7230769230769231,12,0.25,0.6160714285714286
EVRG,EVERGY INC,101,0.38613861386138615,51,0.4117647058823529,41,0.2926829268292683,0.6138613861386139
INTU,INTUIT INC,111,0.6126126126126126,83,0.6626506024096386,8,0.5,0.6126126126126126
MAS,MASCO CORP,111,0.6126126126126126,64,0.65625,29,0.5172413793103449,0.6126126126126126
MU,MICRON TECHNOLOGY INC,111,0.38738738738738737,65,0.4153846153846154,41,0.34146341463414637,0.6126126126126126
RE,EVEREST RE GROUP LTD,108,0.6111111111111112,74,0.7162162162162162,30,0.4,0.6111111111111112
IPGP,I P G PHOTONICS CORP,64,0.609375,37,0.5945945945945946,23,0.6521739130434783,0.609375
CAG,CONAGRA BRANDS INC,110,0.6090909090909091,64,0.609375,18,0.6666666666666666,0.6090909090909091
MOS,MOSAIC COMPANY NEW,69,0.6086956521739131,34,0.6176470588235294,31,0.6129032258064516,0.6086956521739131
FFIV,F 5 NETWORKS INC,92,0.6086956521739131,74,0.6216216216216216,5,0.2,0.6086956521739131
JBHT,HUNT J B TRANSPORT SERVICES INC,112,0.6071428571428571,62,0.6612903225806451,30,0.5333333333333333,0.6071428571428571
TRV,TRAVELERS COMPANIES INC,112,0.6071428571428571,66,0.5757575757575758,40,0.675,0.6071428571428571
BKNG,BOOKING HOLDINGS INC,94,0.6063829787234043,81,0.5802469135802469,12,0.75,0.6063829787234043
TTWO,TAKE TWO INTERACTIVE SOFTWR INC,94,0.6063829787234043,71,0.676056338028169,19,0.3157894736842105,0.6063829787234043
SYF,SYNCHRONY FINANCIAL,33,0.6060606060606061,29,0.5862068965517241,4,0.75,0.6060606060606061
CHRW,CH ROBINSON WORLDWIDE INC,100,0.4,56,0.5892857142857143,21,0.09523809523809523,0.6
UA,UNDER ARMOUR INC,25,0.4,14,0.5,3,0.3333333333333333,0.6
REGN,REGENERON PHARMACEUTICALS INC,10,0.6,8,0.5,2,1.0,0.6
FOXA,FOX CORP,15,0.6,13,0.5384615384615384,2,1.0,0.6
PYPL,PAYPAL HOLDINGS INC,30,0.6,24,0.625,2,0.5,0.6
SNPS,SYNOPSYS INC,110,0.6,84,0.6309523809523809,5,0.4,0.6
L,LOEWS CORP,100,0.6,48,0.6041666666666666,47,0.6382978723404256,0.6
KEY,KEYCORP NEW,112,0.5982142857142857,62,0.6129032258064516,33,0.6363636363636364,0.5982142857142857
PNC,P N C FINANCIAL SERVICES GRP INC,112,0.5982142857142857,79,0.6582278481012658,19,0.42105263157894735,0.5982142857142857
UNH,UNITEDHEALTH GROUP INC,112,0.5982142857142857,85,0.6235294117647059,5,0.4,0.5982142857142857
USB,U S BANCORP DEL,112,0.5982142857142857,51,0.6470588235294118,12,0.4166666666666667,0.5982142857142857
AEP,AMERICAN ELECTRIC POWER CO INC,112,0.5982142857142857,70,0.5857142857142857,38,0.631578947368421,0.5982142857142857
AFL,AFLAC INC,112,0.5982142857142857,70,0.6142857142857143,8,0.5,0.5982142857142857
ADBE,ADOBE INC,113,0.5929203539823009,93,0.6021505376344086,5,0.4,0.5929203539823009
ABT,ABBOTT LABORATORIES,112,0.5892857142857143,64,0.640625,2,0.0,0.5892857142857143
SEE,SEALED AIR CORP NEW,112,0.4107142857142857,66,0.4393939393939394,33,0.42424242424242425,0.5892857142857143
C,CITIGROUP INC,112,0.5892857142857143,93,0.6344086021505376,19,0.3684210526315789,0.5892857142857143
MSFT,MICROSOFT CORP,112,0.5892857142857143,85,0.6352941176470588,10,0.4,0.5892857142857143
GOOGL,GOOGLE INC,73,0.589041095890411,41,0.7560975609756098,19,0.3684210526315789,0.589041095890411
WAB,WABTEC CORP,107,0.411214953271028,67,0.417910447761194,17,0.35294117647058826,0.5887850467289719
KMX,CARMAX INC,102,0.4117647058823529,51,0.43137254901960786,23,0.34782608695652173,0.5882352941176471
SIVB,S V B FINANCIAL GROUP,17,0.4117647058823529,11,0.2727272727272727,0,-1.0,0.5882352941176471
A,AGILENT TECHNOLOGIES INC,91,0.5824175824175825,66,0.6666666666666666,17,0.23529411764705882,0.5824175824175825
